merchantName,description,category
Property Service,paiement syndic building frais mai,LOGEMENT
udemy,book achat semestre 1,EDUCATION
سينما,achat console game mensuel,LOISIRS
udemy,book achat mars,EDUCATION
grill house,coffee break la marsa,RESTAURANT
مكتبة,paiement frais universite mars 1415,EDUCATION
مطعم,fast nourriture commande manar 1508,RESTAURANT
Cinema,paiement film weekend avril,LOISIRS
fresh market,achat fruits legumes manouba,ALIMENTATION
Radiologie,paiement soins medicaux ariana,SANTE
School Fees,paiement training frais 2026,EDUCATION
homerent,paiement loyer juin,LOGEMENT
ooredoo,paiement facture d'electricite tunis 1657,FACTURES
عيادة,paiement analyse sanguine lac,SANTE
ادخار,investment epargne janvier,EPARGNE
SALARY,bonus entreprise mars,SALAIRE
transport public,paiement station travel ariana 3439,TRANSPORT
coiffeur homme,fashion achat en ligne 3814,SHOPPING
وكالة عقارية,paiement loyer mensuel juillet,LOGEMENT
مواصلات,ticket louage bizerte,TRANSPORT
SALAIRE,paiement revenu mensuel mars,SALAIRE
خدمة,service inconnu en ligne,AUTRE
mall achat,achat personnel ariana 3407,SHOPPING
internet provider,facture d'electricite avril 3120,FACTURES
pharmacie,pharmacy achat sfax 7232,SANTE
Restaurant La Marsa,paiement diner weekend lac 6504,RESTAURANT
misc,operation non connue ref778,AUTRE
gamepass,abonnement netflix weekend 9991,LOISIRS
صيدلية,paiement analyse sanguine lac,SANTE
صيدلية,bilan medical sfax 9357,SANTE
monthly payroll,paiement bonus entreprise 2026 6058,SALAIRE
online shop,paiement mall achat marsa mastercard,SHOPPING
prime,paiement mensuel salaire janvier,SALAIRE
radiologie,paiement bilan medical sfax,SANTE
steam,jeu video weekend,LOISIRS
carrefour,achat fruits legumes lac,ALIMENTATION
playstation,music abonnement avril,LOISIRS
online shop,achat vetements 8236,SHOPPING
خدمة,paiement inconnu operation 2026,AUTRE
clinique,analyse sanguine,SANTE
bonus entreprise,prime de performance juin,SALAIRE
school fees,training frais visa,EDUCATION
COIFFEUR HOMME,paiement en ligne achat marsa,SHOPPING
rent apartment,maison loyer paiement juin 8435,LOGEMENT
location maison,paiement syndic building frais janvier,LOGEMENT
clinique el amen,paiement bilan medical,SANTE
plan epargne,epargne versement janvier,EPARGNE
unknown service,paiement inconnu tunis,AUTRE
wallet reserve,mensuel epargne avril 269,EPARGNE
campus service,en ligne course mars 2653,EDUCATION
pstb,training frais semestre 1,EDUCATION
saving account,epargne contribution juin,EPARGNE
online academy,frais inscription 8147,EDUCATION
cabinet medical,visite medicale sousse visa,SANTE
Cafe Ben Yedder,paiement cafe,RESTAURANT
random pay,paiement transaction non classee tunis,AUTRE
كراء,paiement maison loyer paiement mars 1102,LOGEMENT
مطعم المزة,dejeuner manar carte,RESTAURANT
placement,epargne contribution janvier 1100,EPARGNE
Gaming Store,paiement abonnement netflix weekend en ligne,LOISIRS
taxi tunis,bus pass sfax,TRANSPORT
savings transfer,investment epargne juin visa,EPARGNE
hamma hajem,achat personnel marsa,SHOPPING
school fees,paiement school tuition semestre 2,EDUCATION
disney plus,paiement abonnement netflix avril 3109,LOISIRS
sport club fun,film weekend avril,LOISIRS
residence ennasr,paiement maison loyer paiement avril 9558,LOGEMENT
unknown merchant,paiement inconnu operation tunis 3134,AUTRE
طبيب,achat medicament lac,SANTE
random pay,divers service en ligne,AUTRE
divers,paiement transaction non classee en ligne visa,AUTRE
Khallas Unknown,operation diverse en ligne,AUTRE
fruits shop,paniers cuisine nabeul,ALIMENTATION
لواج,paiement ticket louage marsa,TRANSPORT
مطعم,diner weekend lac carte bancaire,RESTAURANT
xbox,streaming service avril,LOISIRS
VIREMENT EMPLOYEUR,paie mensuelle 2026,SALAIRE
cafe ben yedder,paiement achat repas ariana,RESTAURANT
online academy,course abonnement avril,EDUCATION
cinema,cinema ticket famille,LOISIRS
xbox,achat console game weekend,LOISIRS
campus service,university paiement,EDUCATION
CAFE EXPRESS,paiement fast nourriture commande la marsa,RESTAURANT
plan epargne,paiement virement epargne avril en ligne,EPARGNE
internet provider,facture internet 4g,FACTURES
sonede,facture mobile,FACTURES
louage,station travel sfax 5798,TRANSPORT
دكان,achat alimentaire manouba 7786,ALIMENTATION
immoservice,syndic building frais septembre,LOGEMENT
صيدلية,soins medicaux lac 7779,SANTE
internet provider,paiement facture internet,FACTURES
تعليم,course abonnement mars 8853,EDUCATION
pull and bear,haircut men lac,SHOPPING
Virement Employeur,salaire paiement avril,SALAIRE
online shop,achat sport en ligne,SHOPPING
خدمة,transaction non classee 2026 carte bancaire,AUTRE
تعليم,education paiement avril 9303,EDUCATION
gamingstore,paiement entertainment paiement avril,LOISIRS
SHOPPING CENTER,paiement mall achat en ligne 2121,SHOPPING
PLACEMENT,mensuel epargne fevrier 9533 mastercard,EPARGNE
divers,paiement inconnu operation ref778 8262,AUTRE
virement employeur,paiement versement employeur fevrier 8055 carte,SALAIRE
تكسي,paiement trajet tunis tunis 3027,TRANSPORT
virement employeur,virement salaire fevrier,SALAIRE
ترفيه,paiement gaming achat avril,LOISIRS
livret,paiement virement to epargne mars,EPARGNE
spotify,fun activity avril 6924,LOISIRS
hospital,achat medicaments 2677 carte,SANTE
CARREFOUR,paiement mouneh maison nabeul,ALIMENTATION
boucherie slim,achats menageres tunis 6339,ALIMENTATION
taxi tunis,paiement trajet tunis sfax,TRANSPORT
restaurant el bey,achat repas sousse,RESTAURANT
ooredoo,telecom facture avril,FACTURES
savings transfer,paiement investment epargne janvier en ligne,EPARGNE
cabinet medical,achat medicaments manar,SANTE
makloub center,achat repas sousse,RESTAURANT
electric company,utility paiement 9990,FACTURES
عيادة,pharmacy achat manar 9159,SANTE
savings transfer,paiement mensuel epargne 1711 en ligne,EPARGNE
COMPANY PAYROLL,revenu mensuel mars,SALAIRE
formation center,paiement training frais semestre 1 4022,EDUCATION
سينما,jeu video famille,LOISIRS
pharmacie,paiement analyse sanguine manar,SANTE
compte epargne,reservation argent,EPARGNE
طبيب,medical appointment lac,SANTE
investment saving,reservation argent janvier carte bancaire,EPARGNE
ONLINE SHOP,paiement coupe cheveux en ligne,SHOPPING
netflix,music abonnement 775,LOISIRS
monoprix,supermarket achat bizerte 2635,ALIMENTATION
tunisie telecom,paiement facture d'electricite maison,FACTURES
kfc,diner weekend la marsa 3721,RESTAURANT
boucherie slim,paniers cuisine bizerte 1566,ALIMENTATION
paie,mensuel salaire,SALAIRE
MG,paiement boucherie alimentation manouba 8847,ALIMENTATION
playstation,paiement jeu video,LOISIRS
PSTB,formation data science,EDUCATION
zara,personal care achat lac visa,SHOPPING
bolt,trajet travail ariana,TRANSPORT
تكسي,ticket metro marsa 761,TRANSPORT
bus,ticket metro bizerte 192,TRANSPORT
location maison,location paiement janvier,LOGEMENT
chapati house,diner famille ariana,RESTAURANT
mall achat,mall achat tunis 205,SHOPPING
Investment Saving,paiement virement to epargne mars,EPARGNE
RESTAURANT LA MARSA,snack paiement la marsa 1033,RESTAURANT
steam,entertainment paiement premium 6483,LOISIRS
online shop,paiement coupe cheveux,SHOPPING
game pass,weekend loisirs mars,LOISIRS
parapharmacie,soins medicaux tunis,SANTE
transport public,bus pass tunis,TRANSPORT
grill house,paiement makloub chawarma ariana,RESTAURANT
mall achat,personal care achat en ligne,SHOPPING
epicerieelamen,paiement achat produits alimentaires gabes 8870,ALIMENTATION
tunisietelecom,mobile recharge,FACTURES
loyer,paiement frais logement juin 2728,LOGEMENT
Universite,paiement frais inscription avril mastercard,EDUCATION
livret,virement to epargne mai,EPARGNE
SPORT CLUB FUN,achat console game,LOISIRS
wifi bill,internet paiement tunis 1622,FACTURES
epicerie nour,paiement courses maison sousse 232,ALIMENTATION
وكالة عقارية,charges immeuble mars,LOGEMENT
ORANGE,facture internet mars,FACTURES
دكان,epicerie quotidienne ariana 119,ALIMENTATION
accessories shop,fashion achat centre ville visa,SHOPPING
HANOUT,mouneh maison tunis 2763,ALIMENTATION
Makloub Center,makloub chawarma la marsa,RESTAURANT
unknown service,operation non connue en ligne,AUTRE
epicerie nour,paiement paniers cuisine gabes,ALIMENTATION
ادخار,paiement investment epargne fevrier mastercard,EPARGNE
apartment owner,paiement frais logement aout 4331,LOGEMENT
livret,investment epargne juin 639,EPARGNE
online academy,university paiement,EDUCATION
عيادة,doctor visit 8144,SANTE
laboratoire,ordonnance medicaments manar,SANTE
epargne,virement epargne 2368,EPARGNE
paie,paiement prime de performance fevrier,SALAIRE
Paie,virement salaire juin,SALAIRE
AUTRE TRANSACTION,transaction non classee tunis 8475,AUTRE
unknown merchant,paiement inconnu ref778,AUTRE
para pharmacie,paiement achat medicament ariana,SANTE
esprit,paiement en ligne course mars,EDUCATION
yum yum,paiement dejeuner la marsa,RESTAURANT
kfc,paiement fast nourriture commande sousse,RESTAURANT
boucherie slim,paiement achats menageres bizerte,ALIMENTATION
مواصلات,transport a tunis sfax 576 visa,TRANSPORT
carrefour,paiement achat produits alimentaires bizerte,ALIMENTATION
foody,paiement cafe la marsa,RESTAURANT
اتصالات تونس,facture d'electricite juin 5757,FACTURES
amazon,achat vetements lac,SHOPPING
shopping center,en ligne achat centre ville mastercard,SHOPPING
unknown service,divers ref778,AUTRE
service inconnu,service inconnu tunis,AUTRE
hamma hajem,en ligne achat centre ville,SHOPPING
pull and bear,paiement fashion achat marsa,SHOPPING
agence immobiliere,paiement maison loyer paiement fevrier,LOGEMENT
Foody,achat repas tunis mastercard,RESTAURANT
salaire,paiement mensuel salaire mars 3383 carte,SALAIRE
foody,diner weekend centre ville,RESTAURANT
radiologie,pharmacy achat sousse,SANTE
MAGASIN GENERAL,paiement courses ariana,ALIMENTATION
سوق,paiement achat alimentaire gabes 9384,ALIMENTATION
ادخار,virement epargne avril,EPARGNE
epargne,virement to epargne mai,EPARGNE
hanout,paiement courses nabeul,ALIMENTATION
FRUITS SHOP,paiement boucherie alimentation nabeul,ALIMENTATION
Restaurant La Marsa,paiement cafe sousse 9175,RESTAURANT
cinema,paiement weekend loisirs mensuel,LOISIRS
livret,paiement mensuel epargne mars virement,EPARGNE
pharma plus,analyse sanguine visa,SANTE
yum yum,paiement diner weekend la marsa 3240,RESTAURANT
gamingstore,paiement cinema ticket mars,LOISIRS
hm,coupe cheveux tunis,SHOPPING
formation center,frais inscription avril virement,EDUCATION
metro,trajet paiement sousse,TRANSPORT
makloub center,achat repas en ligne,RESTAURANT
خدمة,non classe paiement 2026,AUTRE
salary,paiement virement salaire mars,SALAIRE
service divers,non classe paiement en ligne,AUTRE
virement employeur,versement employeur juin 4394 carte,SALAIRE
pstb,university paiement semestre 2,EDUCATION
school fees,paiement cours mars,EDUCATION
playstation,paiement streaming service famille en ligne,LOISIRS
Pstb,book achat semestre 2,EDUCATION
spotify,film weekend avril,LOISIRS
plan epargne,virement epargne mars 24,EPARGNE
syndic,paiement versement logement juillet,LOGEMENT
agence immobiliere,paiement loyer,LOGEMENT
xyz123,paiement divers en ligne,AUTRE
residenceennasr,paiement loyer mai 3041,LOGEMENT
saving account,epargne versement mars carte,EPARGNE
misc,inconnu operation ref001 virement,AUTRE
Xyz123,divers,AUTRE
loyer,paiement loyer mars 6144,LOGEMENT
Internet Provider,internet paiement maison 2096,FACTURES
سنديك,paiement loyer fevrier,LOGEMENT
كراء,paiement residence frais septembre carte,LOGEMENT
taxi tunis,paiement uber trajet lac,TRANSPORT
foody,lunch meal la marsa,RESTAURANT
pull and bear,fashion achat centre ville,SHOPPING
disney plus,cinema ticket premium,LOISIRS
khallas unknown,paiement inconnu operation ref778 carte,AUTRE
unknown merchant,operation non connue ref778 5819 visa,AUTRE
Coiffeur Homme,achat personnel,SHOPPING
service inconnu,paiement operation diverse 2026 5385,AUTRE
compteepargne,paiement virement epargne avril,EPARGNE
Steam,paiement abonnement netflix weekend visa,LOISIRS
bus,transport a tunis sousse 8987,TRANSPORT
مواصلات,transport ville,TRANSPORT
autre transaction,operation non connue en ligne 4788,AUTRE
مطعم المزة,diner weekend la marsa,RESTAURANT
stationmetro,paiement transport lac,TRANSPORT
مكتبة,paiement course abonnement avril,EDUCATION
magasin general,paiement grocery achat lac,ALIMENTATION
مختبر,pharmacy achat sfax carte,SANTE
clinique,pharmacy achat ariana,SANTE
عيادة,bilan de sante manar,SANTE
طبيب,analyse sanguine manar 3375,SANTE
aziza,paniers cuisine bizerte,ALIMENTATION
PARA PHARMACIE,bilan medical sousse 4493 carte,SANTE
landlord,loyer mensuel septembre,LOGEMENT
spotify,streaming service weekend,LOISIRS
مواصلات,paiement course taxi sfax 8134,TRANSPORT
epargne,paiement reservation argent juin carte,EPARGNE
قهوة,paiement snack paiement tunis,RESTAURANT
bus,paiement course taxi marsa,TRANSPORT
clinique el amen,consultation medicale,SANTE
burger king,paiement fast nourriture commande 7759,RESTAURANT
syndic,paiement syndic building frais juin 3642,LOGEMENT
rapid transport,trajet travail marsa,TRANSPORT
مواصلات,paiement transport a tunis tunis,TRANSPORT
coiffeurhomme,achat personnel carte bancaire,SHOPPING
placement,paiement virement epargne avril,EPARGNE
shawarma time,cafe avec amis lac visa,RESTAURANT
hanout,courses maison nabeul,ALIMENTATION
randompay,paiement inconnu tunis,AUTRE
راتب,versement employeur,SALAIRE
electriccompany,mobile recharge maison,FACTURES
salaire,mensuel salaire mars 7449,SALAIRE
steg,paiement internet paiement mars 6359,FACTURES
accessoriesshop,soin capillaire en ligne 6055,SHOPPING
immoservice,location paiement juillet 5452,LOGEMENT
pstb,paiement book achat mars 9785,EDUCATION
Pstb,school tuition mars,EDUCATION
syndic,versement logement janvier,LOGEMENT
amazon,paiement mall achat ariana,SHOPPING
ترفيه,jeu video premium 2437 virement,LOISIRS
لواج,trajet paiement lac,TRANSPORT
Paie,paiement versement employeur janvier,SALAIRE
salary transfer,paiement virement salaire janvier 1796 virement,SALAIRE
steg,paiement facture internet maison,FACTURES
rent apartment,maison loyer paiement avril carte bancaire,LOGEMENT
عطار,achat cuisine mastercard,ALIMENTATION
chapati house,commande repas sousse 9289,RESTAURANT
apartmentowner,frais logement septembre,LOGEMENT
autre transaction,paiement divers ref778 mastercard,AUTRE
water service,paiement facture d'electricite maison 3757,FACTURES
internetprovider,paiement wifi abonnement,FACTURES
pstb,education paiement semestre 2,EDUCATION
حجام,hjema carte bancaire,SHOPPING
restaurant el bey,snack paiement sousse,RESTAURANT
location maison,paiement maison loyer paiement mai,LOGEMENT
cabinet medical,achat medicaments tunis,SANTE
electric company,facture d'electricite 4643,FACTURES
kfc,snack paiement tunis 8009 virement,RESTAURANT
paie,revenu mensuel avril,SALAIRE
Fast Food,paiement achat repas ariana,RESTAURANT
Amazon,personal care achat ariana,SHOPPING
Netflix,paiement jeu video,LOISIRS
Autre Transaction,non classe paiement en ligne,AUTRE
bonus entreprise,virement salaire fevrier,SALAIRE
tunisie telecom,facture internet maison 1160,FACTURES
property service,paiement location paiement mars,LOGEMENT
universite,training frais,EDUCATION
monthly payroll,versement employeur juin,SALAIRE
Parfumerie,paiement coupe cheveux lac carte,SHOPPING
servicedivers,service inconnu ref778,AUTRE
hospital,bilan medical tunis 6017,SANTE
khallasunknown,transaction non classee en ligne,AUTRE
salon beaute,mall achat ariana virement,SHOPPING
Savings Transfer,virement epargne mai 3469,EPARGNE
GRILL HOUSE,diner famille sousse,RESTAURANT
aziza,paiement epicerie quotidienne ariana 5112,ALIMENTATION
pharmacie,medical appointment sousse 4235,SANTE
investment saving,investment epargne janvier,EPARGNE
ادخار,epargne contribution mai,EPARGNE
isp tunis,paiement wifi abonnement mai,FACTURES
cinema,gaming achat premium,LOISIRS
unknown merchant,transaction non classee tunis,AUTRE
online shop,paiement haircut men tunis en ligne,SHOPPING
virement employeur,paiement mensuel salaire mai 7425,SALAIRE
Fruits Shop,paiement supermarket achat manouba 1979,ALIMENTATION
sonede,paiement water facture avril,FACTURES
zara,paiement soin capillaire en ligne mastercard,SHOPPING
immo service,paiement loyer juin,LOGEMENT
sport club fun,abonnement plateforme mars 7809,LOISIRS
خدمة,operation non connue en ligne,AUTRE
عيادة,soins medicaux sousse,SANTE
random pay,service inconnu,AUTRE
udemy,paiement frais inscription semestre 1,EDUCATION
cinema,paiement music abonnement mars,LOISIRS
dentiste,paiement pharmacy achat manar,SANTE
wifi bill,mobile recharge mars,FACTURES
bonus entreprise,mensuel salaire juin 8188 mastercard,SALAIRE
Universite,paiement en ligne course semestre 2,EDUCATION
وكالة عقارية,apartment location mai 8159 visa,LOGEMENT
Epargne,paiement placement personnel avril,EPARGNE
bershka,paiement en ligne achat lac,SHOPPING
Rapid Transport,paiement transport ville ariana 5010,TRANSPORT
online academy,paiement cours semestre 1 1848,EDUCATION
Epicerie Nour,paiement mouneh maison lac,ALIMENTATION
zara,achat sport ariana,SHOPPING
CAMPUS SERVICE,paiement education paiement semestre 1 2546 virement,EDUCATION
Ooredoo,paiement facture mars 3724,FACTURES
صيدلية,paiement consultation medicale manar virement,SANTE
campus service,paiement en ligne course,EDUCATION
udemy,formation data science avril,EDUCATION
metro,paiement trajet paiement marsa,TRANSPORT
wifibill,facture internet tunis,FACTURES
xbox,entertainment paiement avril,LOISIRS
وكالة عقارية,residence frais juin,LOGEMENT
salary,virement salaire mai en ligne,SALAIRE
خدمة,paiement inconnu ref001 1965,AUTRE
placement,reservation argent en ligne,EPARGNE
steam,paiement weekend loisirs premium 7117,LOISIRS
formationcenter,paiement cours mars,EDUCATION
School Fees,paiement cours 2026,EDUCATION
تكسي,ticket metro sousse,TRANSPORT
water service,wifi abonnement fiber en ligne,FACTURES
Barber Shop,paiement buying accessories tunis,SHOPPING
WATER SERVICE,paiement utility paiement mai 6634 carte,FACTURES
وكالة عقارية,charges immeuble juillet,LOGEMENT
librairie,book achat semestre 2,EDUCATION
ترفيه,streaming service avril carte bancaire,LOISIRS
XBOX,paiement film weekend avril,LOISIRS
وكالة عقارية,charges immeuble aout,LOGEMENT
راتب,company payroll avril,SALAIRE
اتصالات تونس,paiement facture d'electricite mars,FACTURES
ooredoo,water facture avril,FACTURES
PRIME,paie mensuelle janvier en ligne,SALAIRE
pstb,paiement achat livres avril carte bancaire,EDUCATION
randompay,paiement inconnu en ligne 3129 en ligne,AUTRE
سوق,mouneh maison ariana,ALIMENTATION
sport club fun,abonnement netflix premium,LOISIRS
دكان,paiement courses manouba 963 carte,ALIMENTATION
سنديك,paiement syndic building frais fevrier,LOGEMENT
transport public,paiement transport a tunis sousse 8389 virement,TRANSPORT
خدمة,paiement autre paiement 2026 8875,AUTRE
magasin general,paiement courses nabeul 4821,ALIMENTATION
magasingeneral,paiement achat produits alimentaires,ALIMENTATION
agence immobiliere,paiement loyer septembre carte,LOGEMENT
agence immobiliere,paiement loyer juin,LOGEMENT
ترفيه,paiement abonnement plateforme famille 5093,LOISIRS
boucherieslim,boucherie alimentation manouba 9828 virement,ALIMENTATION
transport public,uber trajet 115,TRANSPORT
station metro,station travel sousse,TRANSPORT
khallas unknown,autre paiement en ligne,AUTRE
service divers,autre paiement 2026 3134,AUTRE
UBER,trajet paiement sfax,TRANSPORT
taxi tunis,paiement transport quotidien lac carte,TRANSPORT
مختبر,achat medicaments sousse virement,SANTE
Coffee Shop,paiement repas diner la marsa en ligne,RESTAURANT
fast food,paiement cafe centre ville 298,RESTAURANT
Laboratoire,analyses,SANTE
تعليم,paiement education paiement semestre 2 2925 mastercard,EDUCATION
جامعة,training frais semestre 1,EDUCATION
immo service,maison loyer paiement fevrier virement,LOGEMENT
Pull And Bear,buying accessories marsa 4345,SHOPPING
mg,courses maison sousse,ALIMENTATION
khallasunknown,service inconnu,AUTRE
Foody,lunch meal centre ville carte,RESTAURANT
taxi,bus pass ariana,TRANSPORT
SYNDIC,loyer mensuel janvier 1634,LOGEMENT
cabinet medical,paiement doctor visit sfax,SANTE
service divers,paiement divers service,AUTRE
hamma hajem,personal care achat 1842,SHOPPING
decathlon,paiement hjema en ligne 9676,SHOPPING
fresh market,grocery achat bizerte,ALIMENTATION
zara,mall achat ariana carte bancaire,SHOPPING
syndic,paiement loyer janvier,LOGEMENT
playstation,paiement fun activity mars,LOISIRS
pstb,paiement training frais avril,EDUCATION
WIFI BILL,internet paiement juin 3281,FACTURES
دكان,achat alimentaire ariana 3627,ALIMENTATION
sportclubfun,paiement achat console game premium 5423,LOISIRS
random pay,paiement service inconnu tunis,AUTRE
monoprix,paiement achat epicerie lac 6367,ALIMENTATION
chapati house,paiement cafe la marsa 1927,RESTAURANT
unknownservice,paiement non classe paiement en ligne,AUTRE
Misc,operation non connue 2026 3535,AUTRE
سنديك,paiement loyer,LOGEMENT
accessories shop,hjema tunis 5437,SHOPPING
Restaurant El Bey,snack paiement lac,RESTAURANT
xbox,weekend loisirs mensuel,LOISIRS
compteepargne,mensuel epargne mai 4959,EPARGNE
loyer,loyer appartement septembre,LOGEMENT
dentiste,soins medicaux,SANTE
hospital,ordonnance medicaments manar 6952,SANTE
TRANSPORT PUBLIC,station travel 719 carte bancaire,TRANSPORT
unknown service,divers service en ligne 3181 carte,AUTRE
monthly payroll,paiement mensuel salaire fevrier,SALAIRE
syndic,loyer mensuel mars,LOGEMENT
مختبر,analyse sanguine manar,SANTE
rent apartment,paiement loyer,LOGEMENT
medecin,ordonnance medicaments tunis,SANTE
coffee shop,coffee break manar,RESTAURANT
Location Maison,loyer mensuel fevrier visa,LOGEMENT
waterservice,paiement facture internet 4g,FACTURES
bus,bus pass sousse visa,TRANSPORT
syndic,maison loyer paiement mars,LOGEMENT
steg,paiement facture,FACTURES
ZARA,soin capillaire,SHOPPING
khallas unknown,autre paiement,AUTRE
aziza,boucherie alimentation bizerte visa,ALIMENTATION
مطعم المزة,restaurant paiement manar,RESTAURANT
compte epargne,paiement investment epargne avril 6054,EPARGNE
campusservice,paiement cours avril 7929,EDUCATION
tunisie telecom,facture mobile mai,FACTURES
restaurant el bey,makloub chawarma 1650,RESTAURANT
AUTRE TRANSACTION,service inconnu,AUTRE
coiffeur homme,paiement en ligne achat marsa 2090,SHOPPING
savings transfer,investment epargne mars 5822,EPARGNE
CHAPATI HOUSE,paiement snack paiement la marsa mastercard,RESTAURANT
hm,fashion achat ariana,SHOPPING
shawarma time,pizza commande sousse,RESTAURANT
KFC,paiement diner famille lac en ligne,RESTAURANT
apartment owner,paiement loyer mensuel juillet,LOGEMENT
سوق,courses maison manouba visa,ALIMENTATION
وكالة عقارية,syndic building frais fevrier,LOGEMENT
أوريدو,paiement facture 7408 virement,FACTURES
epargne,epargne versement mai,EPARGNE
AGENCE IMMOBILIERE,maison loyer paiement fevrier,LOGEMENT
internet provider,paiement facture juin,FACTURES
chapati house,achat repas,RESTAURANT
fastfood,achat repas ariana,RESTAURANT
hospital,paiement bilan medical lac,SANTE
صيدلية,soins medicaux manar,SANTE
bus,station travel sousse,TRANSPORT
campus service,paiement cours,EDUCATION
payroll,virement salaire avril 280,SALAIRE
XBOX,achat console game famille,LOISIRS
fresh market,grocery achat sfax 6202,ALIMENTATION
foody,paiement carte restaurant centre ville,RESTAURANT
boucherie slim,courses maison sfax 854,ALIMENTATION
hm,fashion achat lac,SHOPPING
hospital,doctor visit,SANTE
FAST FOOD,paiement pizza commande centre ville,RESTAURANT
unknownmerchant,service inconnu ref778 8575,AUTRE
Aziza,paiement paniers cuisine nabeul 285,ALIMENTATION
سنديك,location paiement 4167,LOGEMENT
geant,paiement supermarket achat carte bancaire,ALIMENTATION
payroll,mensuel salaire 2026 7016,SALAIRE
game pass,paiement jeu video premium 3925,LOISIRS
fruits shop,paiement achat produits alimentaires sousse carte bancaire,ALIMENTATION
prime,paiement virement salaire avril en ligne,SALAIRE
tunisie telecom,paiement facture mars,FACTURES
orange,water facture tunis 1408,FACTURES
صيدلية,consultation medicale tunis carte,SANTE
coiffeur homme,paiement personal care achat centre ville,SHOPPING
Xyz123,divers service en ligne visa,AUTRE
isp tunis,paiement facture juin,FACTURES
plan epargne,reservation argent janvier carte bancaire,EPARGNE
spotify,streaming service mars 1842,LOISIRS
KHALLAS UNKNOWN,transaction non classee ref001 3345,AUTRE
pizza hut,diner weekend lac 6627,RESTAURANT
property service,paiement loyer fevrier,LOGEMENT
Taxi,transport a tunis sfax,TRANSPORT
random pay,non classe paiement 9451,AUTRE
clinique el amen,bilan de sante sousse,SANTE
souk,epicerie quotidienne gabes,ALIMENTATION
bonus entreprise,virement salaire mars,SALAIRE
librairie,formation data science avril,EDUCATION
plan epargne,paiement epargne contribution mai,EPARGNE
ادخار,investment epargne,EPARGNE
epargne,paiement virement epargne juin,EPARGNE
hm,achat sport en ligne 4599,SHOPPING
تكسي,paiement station travel bizerte,TRANSPORT
xyz123,operation non connue ref778,AUTRE
Makloub Center,achat repas la marsa,RESTAURANT
autre transaction,divers service ref001,AUTRE
steg,paiement facture mobile mai,FACTURES
Mg,paiement achat cuisine sfax,ALIMENTATION
RESIDENCE LAC,apartment location aout,LOGEMENT
COURSERA,formation data science semestre 1,EDUCATION
salary transfer,salaire paiement juin en ligne,SALAIRE
orange,paiement facture mobile maison,FACTURES
loyer,paiement loyer juillet,LOGEMENT
online shop,paiement mall achat en ligne 5659,SHOPPING
station metro,paiement transport ville bizerte carte,TRANSPORT
mall achat,achat personnel 3068,SHOPPING
khallas unknown,divers service en ligne 3193,AUTRE
uber,trajet tunis sousse,TRANSPORT
immoservice,maison loyer paiement juillet,LOGEMENT
pstb,university paiement mars 2150,EDUCATION
مطعمالمزة,paiement diner weekend la marsa,RESTAURANT
grill house,paiement carte restaurant tunis 787,RESTAURANT
investment saving,paiement mensuel epargne mars,EPARGNE
دكان,paiement supermarket achat nabeul,ALIMENTATION
pull and bear,mall achat 1812,SHOPPING
أوريدو,paiement mobile recharge tunis 1044,FACTURES
ONLINE SHOP,coupe cheveux tunis,SHOPPING
shopping center,achat sport en ligne 8862,SHOPPING
divers,autre paiement en ligne,AUTRE
steg,paiement facture maison 4065,FACTURES
Salon Beaute,paiement en ligne achat marsa,SHOPPING
misc,inconnu operation ref778 7223,AUTRE
louage,paiement trajet downtown marsa 6650,TRANSPORT
مطعم,paiement diner weekend sousse,RESTAURANT
shopping center,hjema,SHOPPING
salaire,bonus entreprise 2026,SALAIRE
esprit,paiement university paiement 2026 8606,EDUCATION
Netflix,streaming service,LOISIRS
formation center,book achat avril,EDUCATION
coursera,paiement cours 2026,EDUCATION
MAKLOUB CENTER,fast nourriture commande manar,RESTAURANT
orange,facture mobile mars,FACTURES
aziza,supermarket achat bizerte,ALIMENTATION
KFC,paiement carte restaurant,RESTAURANT
سينما,abonnement plateforme,LOISIRS
gaming store,paiement film weekend avril,LOISIRS
cafe ben yedder,paiement dejeuner lac,RESTAURANT
PHARMACIE,paiement bilan medical sfax,SANTE
XYZ123,divers service 2026,AUTRE
Ooredoo,paiement facture,FACTURES
formationcenter,en ligne course mars 469 carte bancaire,EDUCATION
سنديك,paiement charges immeuble mars 7874 carte bancaire,LOGEMENT
تكسي,trajet travail lac,TRANSPORT
صيدلية,pharmacy achat sfax,SANTE
radiologie,soins medicaux,SANTE
misc,inconnu operation ref778,AUTRE
xyz123,paiement inconnu operation en ligne 2048,AUTRE
Hanout,paiement epicerie quotidienne nabeul 4296,ALIMENTATION
online academy,paiement book achat,EDUCATION
cabinetmedical,analyse sanguine lac 7088,SANTE
Amazon,paiement achat clothes mastercard,SHOPPING
epargne,reservation argent mai virement,EPARGNE
Electric Company,telecom facture,FACTURES
xyz123,operation diverse ref001,AUTRE
عطار,paiement nourriture groceries ariana,ALIMENTATION
clinique,pharmacy achat sousse carte bancaire,SANTE
bershka,achat sport tunis 2251,SHOPPING
LIBRAIRIE,paiement school tuition 2026,EDUCATION
hr payment,paie mensuelle mai,SALAIRE
wifi bill,water facture fiber,FACTURES
unknown service,divers service tunis,AUTRE
Louage,paiement transport tunis 6496 en ligne,TRANSPORT
